variant,frequency,cost,alignment,model_moves,log_moves
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'W_Handle leads', 'W_Complete application', 'A_Concept', 'W_Complete application', 'W_Complete appl.', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Finish application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'A_Canc.', 'O_Cancelled', 'W_Call after offers')",1,4,"[[""A_Create Application"", ""A_Create Application""], [""A_Submitted"", ""A_Submitted""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], [""A_Concept"", ""A_Concept""], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete appl."", "">>""], ["">>"", null], ["">>"", null], [""A_Accepted"", ""A_Accepted""], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], [""W_Finish application"", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], [""A_Complete"", "">>""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], [""A_Canc."", "">>""], ["">>"", null], [""O_Cancelled"", ""O_Cancelled""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""W_Complete appl."", ""W_Finish application"", ""A_Complete"", ""A_Canc.""]"
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'W_Handle leads', 'W_Complete application', 'A_Concept', 'W_Complete application', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and onl.)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'O_Returned', 'O_Accepted', 'A_Pending')",1,1,"[[""A_Create Application"", ""A_Create Application""], [""A_Submitted"", ""A_Submitted""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], [""A_Concept"", ""A_Concept""], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], [""A_Accepted"", ""A_Accepted""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], [""O_Sent (mail and onl.)"", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Complete"", ""A_Complete""], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Returned"", ""O_Returned""], ["">>"", null], [""O_Accepted"", ""O_Accepted""], [""A_Pending"", ""A_Pending""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""O_Sent (mail and onl.)""]"
"('A_Create Application', 'W_Complete application', 'W_Finish application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and onl.)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'A_Cancelled', 'O_Cancelled', 'W_Call after offers')",2,2,"[[""A_Create Application"", ""A_Create Application""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Finish application"", "">>""], ["">>"", null], ["">>"", null], [""A_Concept"", ""A_Concept""], [""A_Accepted"", ""A_Accepted""], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], [""O_Sent (mail and onl.)"", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Complete"", ""A_Complete""], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Cancelled"", ""A_Cancelled""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Cancelled"", ""O_Cancelled""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""W_Finish application"", ""O_Sent (mail and onl.)""]"
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'W_Handle leads', 'W_Complete application', 'A_Concept', 'W_Finalize application', 'W_Complete application', 'W_Complete application', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'O_Ret.', 'W_Call incomplete files', 'W_Call incomplete files', 'A_Incomplete', 'W_Call incompl. files', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'A_Denied', 'O_Refused')",1,3,"[[""A_Create Application"", ""A_Create Application""], [""A_Submitted"", ""A_Submitted""], ["">>"", null], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], [""A_Concept"", ""A_Concept""], [""W_Finalize application"", "">>""], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Accepted"", ""A_Accepted""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Complete"", ""A_Complete""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], [""O_Ret."", "">>""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""A_Incomplete"", ""A_Incomplete""], [""W_Call incompl. files"", "">>""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""A_Denied"", ""A_Denied""], ["">>"", null], [""O_Refused"", ""O_Refused""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""W_Finalize application"", ""O_Ret."", ""W_Call incompl. files""]"
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'W_Handle leads', 'W_Complete application', 'A_Concept', 'W_Finalize application', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'O_Returned', 'W_Call incompl. files', 'W_Call incomplete files', 'A_Incomplete', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incompl. files', 'W_Call incompl. files', 'W_Call incomplete files', 'A_Incomplete', 'W_Call incomplete files', 'O_Accepted', 'A_Pending')",1,4,"[[""A_Create Application"", ""A_Create Application""], [""A_Submitted"", ""A_Submitted""], ["">>"", null], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], [""A_Concept"", ""A_Concept""], [""W_Finalize application"", "">>""], [""A_Accepted"", ""A_Accepted""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Create Offer"", ""O_Create Offer""], ["">>"", null], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Complete"", ""A_Complete""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""O_Returned"", ""O_Returned""], [""W_Call incompl. files"", "">>""], ["">>"", null], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Incomplete"", ""A_Incomplete""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], [""W_Call incompl. files"", "">>""], [""W_Call incompl. files"", "">>""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""A_Incomplete"", ""A_Incomplete""], ["">>"", null], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""O_Accepted"", ""O_Accepted""], [""A_Pending"", ""A_Pending""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""W_Finalize application"", ""W_Call incompl. files"", ""W_Call incompl. files"", ""W_Call incompl. files""]"
"('A_Create Application', 'A_Subm.', 'W_Handle leads', 'W_Handle leads', 'W_Handle leads', 'W_Complete application', 'W_Finalize application', 'A_Concept', 'W_Finalize application', 'W_Complete application', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'O_Returned', 'W_Call incomplete files', 'W_Call incomplete files', 'A_Incomplete', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'O_Accepted', 'A_Pending')",1,3,"[[""A_Create Application"", ""A_Create Application""], [""A_Subm."", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], [""W_Finalize application"", "">>""], [""A_Concept"", ""A_Concept""], [""W_Finalize application"", "">>""], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Accepted"", ""A_Accepted""], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Complete"", ""A_Complete""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""O_Returned"", ""O_Returned""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Incomplete"", ""A_Incomplete""], ["">>"", null], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""O_Accepted"", ""O_Accepted""], [""A_Pending"", ""A_Pending""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""A_Subm."", ""W_Finalize application"", ""W_Finalize application""]"
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'W_Handle leads', 'W_Complete application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'W_Call after offers', 'W_Call after ofrs.', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'O_Returned', 'W_Call incomplete files', 'W_Call incomplete files', 'A_Incomplete', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'A_Incomplete', 'W_Call incomplete files', 'W_Call incomplete files', 'W_Call incomplete files', 'O_Acc.', 'A_Pending', 'W_Call incomplete files')",1,3,"[[""A_Create Application"", ""A_Create Application""], [""A_Submitted"", ""A_Submitted""], ["">>"", null], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Concept"", ""A_Concept""], [""A_Accepted"", ""A_Accepted""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], [""W_Call after ofrs."", "">>""], ["">>"", null], [""A_Complete"", ""A_Complete""], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], [""O_Returned"", ""O_Returned""], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Incomplete"", ""A_Incomplete""], ["">>"", null], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""A_Incomplete"", ""A_Incomplete""], ["">>"", null], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], [""O_Acc."", "">>""], [""A_Pending"", "">>""], ["">>"", null], [""W_Call incomplete files"", ""W_Call incomplete files""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""W_Call after ofrs."", ""O_Acc."", ""A_Pending""]"
"('A_Create Application', 'W_Finalize application', 'W_Complete application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'O_Returned', 'O_Accepted', 'A_Pending')",16,1,"[[""A_Create Application"", ""A_Create Application""], [""W_Finalize application"", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Concept"", ""A_Concept""], [""A_Accepted"", ""A_Accepted""], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Complete"", ""A_Complete""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""O_Returned"", ""O_Returned""], ["">>"", null], [""O_Accepted"", ""O_Accepted""], [""A_Pending"", ""A_Pending""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""W_Finalize application""]"
"('A_Create Application', 'W_Finish application', 'W_Complete application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Complete', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'O_Returned', 'O_Accepted', 'A_Pending')",11,1,"[[""A_Create Application"", ""A_Create Application""], [""W_Finish application"", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""A_Concept"", ""A_Concept""], [""A_Accepted"", ""A_Accepted""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Complete"", ""A_Complete""], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""O_Returned"", ""O_Returned""], ["">>"", null], [""O_Accepted"", ""O_Accepted""], [""A_Pending"", ""A_Pending""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""W_Finish application""]"
"('A_Create Application', 'A_Subm.', 'W_Handle leads', 'W_Handle leads', 'W_Finish application', 'A_Concept', 'W_Complete appl.', 'W_Complete application', 'W_Complete application', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'W_Call after offers', 'W_Call after offers', 'A_Comp.', 'W_Call after offers', 'W_Call after offers', 'W_Call after offers', 'A_Cancelled', 'O_Cancelled', 'W_Call after offers')",1,4,"[[""A_Create Application"", ""A_Create Application""], [""A_Subm."", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], ["">>"", null], [""W_Handle leads"", ""W_Handle leads""], [""W_Finish application"", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Concept"", ""A_Concept""], [""W_Complete appl."", "">>""], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""A_Accepted"", ""A_Accepted""], [""O_Create Offer"", ""O_Create Offer""], [""O_Created"", ""O_Created""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Sent (mail and online)"", ""O_Sent (mail and online)""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Complete application"", ""W_Complete application""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], [""A_Comp."", "">>""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], [""A_Cancelled"", ""A_Cancelled""], ["">>"", null], ["">>"", null], ["">>"", null], [""O_Cancelled"", ""O_Cancelled""], ["">>"", null], ["">>"", null], ["">>"", null], [""W_Call after offers"", ""W_Call after offers""], ["">>"", null], ["">>"", null], ["">>"", null], ["">>"", null]]",[],"[""A_Subm."", ""W_Finish application"", ""W_Complete appl."", ""A_Comp.""]"
