concept:name,mean_waiting_time_m,mean_processing_time_h
A_Cancelled - Incident No. Application_88378711,44361.7174,
A_Cancelled - Incident No. Application_1091165384,38908.10205,
A_Cancelled - Incident No. Application_616691734,38907.40762,
A_Cancelled - Incident No. Application_418142057,38851.67782,
A_Cancelled - Incident No. Application_1547107498,38768.27598,
A_Cancelled - Incident No. Application_1960505967,38757.49342,
A_Cancelled - Incident No. Application_1702512682,38683.28267,
A_Cancelled - Incident No. Application_1534754048,38488.88768,
A_Cancelled - Incident No. Application_1746169593,37427.90763,
A_Cancelled - Incident No. Application_825204284,37157.1848,
A_Canc. - Incident No. Application_1488125115,35944.36522,
W_Personal Loan collection,33651.47234,
A_Cancelled,29844.23909,
A_Accepted - Incident No. Application_2122225410,29687.64378,
A_Canc.,28478.07307,
O_Returned - Incident No. Application_1325467032,26050.89513,
W_Call after offers - Incident No. Application_793038001,18446.81858,
W_Call after offers - Incident No. Application_1811976667,16135.44098,
W_Call after offers - Incident No. Application_82157828,15521.46407,
W_Call incomplete files - Incident No. Application_1772113936,13101.23043,
W_Call after offers - Incident No. Application_1300025139,12765.3705,
W_Call after offers - Incident No. Application_988527938,11267.89173,
W_Call incomplete files - Incident No. Application_2126583947,11094.71072,
W_Call after offers - Incident No. Application_795526517,10414.2417,
W_Call after offers - Incident No. Application_1952474346,10256.80132,
A_Accepted - Incident No. Application_622543878,10091.15413,
W_Call incomplete files - Incident No. Application_972571109,9908.0217,
W_Complete application - Incident No. Application_2128172349,9895.47187,
O_Accepted - Incident No. Application_297421946,9542.95055,
W_Call incomplete files - Incident No. Application_1624825294,9503.98773,
W_Call incomplete files - Incident No. Application_1769646803,8731.5305,
W_Call after offers - Incident No. Application_293379010,8654.83377,
W_Call incomplete files - Incident No. Application_183895888,8207.75003,
W_Call after offers - Incident No. Application_201170519,8093.31355,
W_Call after offers - Incident No. Application_1706313428,7318.04882,
W_Call after offers - Incident No. Application_1309154792,7309.53298,
W_Complete application - Incident No. Application_1020792873,7112.11127,
W_Call after offers - Incident No. Application_1043541344,6786.70998,
W_Call after offers - Incident No. Application_1073884448,6748.6415,
W_Call incomplete files - Incident No. Application_571492451,6727.80145,
W_Call after offers - Incident No. Application_1882710825,6721.53862,
W_Call after offers - Incident No. Application_1779218436,6620.25282,
O_Returned - Incident No. Application_564819308,6108.32235,
W_Call incomplete files - Incident No. Application_1224874439,6008.0577,
W_Call after offers - Incident No. Application_1523986735,5942.70272,
W_Call after offers - Incident No. Application_721883805,5941.53047,
W_Call after offers - Incident No. Application_1392179426,5940.76205,
W_Call after offers - Incident No. Application_256705596,5933.97812,
W_Call after offers - Incident No. Application_925557082,5930.96273,
W_Call after offers - Incident No. Application_1460054354,5925.50753,
W_Call after offers - Incident No. Application_1434185309,5921.04023,
W_Call after offers - Incident No. Application_918375426,5837.4387,
W_Call after offers - Incident No. Application_1469127552,5811.95807,
A_Denied - Incident No. Application_594099387,5811.35937,
W_Call after offers - Incident No. Application_1777192556,5779.80453,
W_Call after offers - Incident No. Application_1723963074,5768.72132,
W_Call after offers - Incident No. Application_1200560534,5744.96615,
W_Call after offers - Incident No. Application_171671657,5725.13342,
W_Call after offers - Incident No. Application_884552445,5694.88567,
O_Create Offer - Incident No. Application_592572289,5664.00527,
W_Call after offers - Incident No. Application_2143365352,5616.07805,
W_Call incomplete files - Incident No. Application_24262449,5603.83763,
W_Call after offers - Incident No. Application_1821081059,5588.77245,
W_Complete application - Incident No. Application_502650633,5577.25535,
W_Call incomplete files - Incident No. Application_927205634,5570.09698,
W_Call after offers - Incident No. Application_859455921,5536.69467,
W_Call after offers - Incident No. Application_1706081580,5536.21875,
W_Call after offers - Incident No. Application_452765665,5506.99432,
W_Call after offers - Incident No. Application_1524427650,5478.98813,
W_Call after offers - Incident No. Application_170263999,5475.92445,
W_Call after offers - Incident No. Application_1128726606,5437.33297,
W_Call after offers - Incident No. Application_1224457292,5424.55715,
W_Call after offers - Incident No. Application_1701993832,5423.29503,
W_Call after offers - Incident No. Application_628839264,5419.95853,
W_Call after offers - Incident No. Application_1698689539,5302.84018,
W_Call after ofrs. - Incident No. Application_1172380323,5258.17377,
W_Call after offers - Incident No. Application_516260428,5183.6648,
W_Call after offers - Incident No. Application_17219016,5160.3218,
W_Call after offers - Incident No. Application_1756146136,5023.59595,
W_Call after offers - Incident No. Application_188268710,4989.72797,
W_Call incomplete files - Incident No. Application_1450294116,4988.84099,
W_Call incomplete files - Incident No. Application_1421581992,4569.25977,
W_Call after offers - Incident No. Application_632417971,4486.59008,
